tenant_id,scope_node_id,data_class,data_origin,candidate_id,source_dataset_id,source_record_key,reason_code,reason_detail,expected_disposition,raw_payload
tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,SYNTHETIC,QTN-0001,MDM-01,DEMO-MDM-01-0001,UNMAPPED_SOURCE_CODE,원천 품목 코드가 Crosswalk에 없음,QUARANTINE,"{""demo_sequence"": 1, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,SYNTHETIC,QTN-0002,MDM-01,DEMO-MDM-01-0002,UNMAPPED_SOURCE_CODE,원천 품목 코드가 Crosswalk에 없음,QUARANTINE,"{""demo_sequence"": 2, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,SYNTHETIC,QTN-0003,MDM-01,DEMO-MDM-01-0003,UNMAPPED_SOURCE_CODE,원천 품목 코드가 Crosswalk에 없음,QUARANTINE,"{""demo_sequence"": 3, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,SYNTHETIC,QTN-0004,MDM-01,DEMO-MDM-01-0004,UNMAPPED_SOURCE_CODE,원천 품목 코드가 Crosswalk에 없음,QUARANTINE,"{""demo_sequence"": 4, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,SYNTHETIC,QTN-0005,MDM-01,DEMO-MDM-01-0005,UNMAPPED_SOURCE_CODE,원천 품목 코드가 Crosswalk에 없음,QUARANTINE,"{""demo_sequence"": 5, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,SYNTHETIC,QTN-0006,LOG-03,DEMO-LOG-03-0001,DUPLICATE_MILESTONE,동일 선적·사건·시각의 중복,QUARANTINE,"{""demo_sequence"": 6, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,SYNTHETIC,QTN-0007,LOG-03,DEMO-LOG-03-0002,DUPLICATE_MILESTONE,동일 선적·사건·시각의 중복,QUARANTINE,"{""demo_sequence"": 7, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,SYNTHETIC,QTN-0008,LOG-03,DEMO-LOG-03-0003,DUPLICATE_MILESTONE,동일 선적·사건·시각의 중복,QUARANTINE,"{""demo_sequence"": 8, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,SYNTHETIC,QTN-0009,LOG-04,DEMO-LOG-04-0001,CUSTOMS_CORRECTION,통관 정정본의 선행 버전 연결 필요,QUARANTINE,"{""demo_sequence"": 9, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,SYNTHETIC,QTN-0010,LOG-04,DEMO-LOG-04-0002,CUSTOMS_CORRECTION,통관 정정본의 선행 버전 연결 필요,QUARANTINE,"{""demo_sequence"": 10, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,SYNTHETIC,QTN-0011,LOG-04,DEMO-LOG-04-0003,CUSTOMS_CORRECTION,통관 정정본의 선행 버전 연결 필요,QUARANTINE,"{""demo_sequence"": 11, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,SYNTHETIC,QTN-0012,LOG-04,DEMO-LOG-04-0004,CUSTOMS_CORRECTION,통관 정정본의 선행 버전 연결 필요,QUARANTINE,"{""demo_sequence"": 12, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,SYNTHETIC,QTN-0013,MFG-02,DEMO-MFG-02-0001,LATE_ACTUAL,마감 이후 도착한 생산 실적,QUARANTINE,"{""demo_sequence"": 13, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,SYNTHETIC,QTN-0014,MFG-02,DEMO-MFG-02-0002,LATE_ACTUAL,마감 이후 도착한 생산 실적,QUARANTINE,"{""demo_sequence"": 14, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,SYNTHETIC,QTN-0015,MFG-02,DEMO-MFG-02-0003,LATE_ACTUAL,마감 이후 도착한 생산 실적,QUARANTINE,"{""demo_sequence"": 15, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,SYNTHETIC,QTN-0016,MFG-02,DEMO-MFG-02-0004,LATE_ACTUAL,마감 이후 도착한 생산 실적,QUARANTINE,"{""demo_sequence"": 16, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,SYNTHETIC,QTN-0017,MFG-02,DEMO-MFG-02-0005,LATE_ACTUAL,마감 이후 도착한 생산 실적,QUARANTINE,"{""demo_sequence"": 17, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,SYNTHETIC,QTN-0018,MFG-02,DEMO-MFG-02-0006,LATE_ACTUAL,마감 이후 도착한 생산 실적,QUARANTINE,"{""demo_sequence"": 18, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,SYNTHETIC,QTN-0019,MFG-02,DEMO-MFG-02-0007,LATE_ACTUAL,마감 이후 도착한 생산 실적,QUARANTINE,"{""demo_sequence"": 19, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,SYNTHETIC,QTN-0020,MFG-02,DEMO-MFG-02-0008,LATE_ACTUAL,마감 이후 도착한 생산 실적,QUARANTINE,"{""demo_sequence"": 20, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,SYNTHETIC,QTN-0021,PRC-02,DEMO-PRC-02-0001,UOM_MISMATCH_CANDIDATE,계약 단위와 발주 단위 불일치,QUARANTINE,"{""demo_sequence"": 21, ""invalid_by_design"": true}"
