record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,cost_record_id,fiscal_period,product_id,cost_component,standard_unit_cost,actual_unit_cost,variance_amount,currency,quantity_uom
fin-01-0650e3e0cb79,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-213f877df4f8,COST-202308-FG-CATHODE-MATERIAL,2023-08,FG-CATHODE,MATERIAL,5184.0,5273.89,89.89,USD,TON
fin-01-94bc2de6782d,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7046f7a45585,COST-202308-FG-CATHODE-CONVERSION,2023-08,FG-CATHODE,CONVERSION,1152.0,1151.97,-0.03,USD,TON
fin-01-6f05e034f5ec,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3518e18ab97d,COST-202308-FG-CATHODE-LOGISTICS,2023-08,FG-CATHODE,LOGISTICS,504.0,513.37,9.37,USD,TON
fin-01-dafeb7261b4e,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-bf722631f447,COST-202308-FG-CATHODE-QUALITY_LOSS,2023-08,FG-CATHODE,QUALITY_LOSS,360.0,355.25,-4.75,USD,TON
fin-01-a3e55cb74cd9,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-da2787ffc1d1,COST-202308-FG-LIOH-MATERIAL,2023-08,FG-LIOH,MATERIAL,13680.0,14270.21,590.21,USD,TON
fin-01-8ac514a93d76,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-587d7c9d9332,COST-202308-FG-LIOH-CONVERSION,2023-08,FG-LIOH,CONVERSION,3040.0,3103.88,63.88,USD,TON
fin-01-660ede1fe7d1,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d380f6d50934,COST-202308-FG-LIOH-LOGISTICS,2023-08,FG-LIOH,LOGISTICS,1330.0,1394.2,64.2,USD,TON
fin-01-cf5c820ab38e,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-09cdfc0bd117,COST-202308-FG-LIOH-QUALITY_LOSS,2023-08,FG-LIOH,QUALITY_LOSS,950.0,989.9,39.9,USD,TON
fin-01-eae48f798552,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f5999a91eca1,COST-202308-FG-NISO4-MATERIAL,2023-08,FG-NISO4,MATERIAL,11160.0,11553.87,393.87,USD,TON
fin-01-f232d85d74bc,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-cfb34acf7f15,COST-202308-FG-NISO4-CONVERSION,2023-08,FG-NISO4,CONVERSION,2480.0,2443.39,-36.61,USD,TON
fin-01-cfebc2efa4c3,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9f91d255afec,COST-202308-FG-NISO4-LOGISTICS,2023-08,FG-NISO4,LOGISTICS,1085.0,1111.95,26.95,USD,TON
fin-01-482b0e3b4ca1,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3dc60222afd9,COST-202308-FG-NISO4-QUALITY_LOSS,2023-08,FG-NISO4,QUALITY_LOSS,775.0,786.23,11.23,USD,TON
fin-01-bfb2f7393c3d,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-459783becf58,COST-202308-MAT-FI-0017-MATERIAL,2023-08,MAT-FI-0017,MATERIAL,13680.0,13546.03,-133.97,USD,TON
fin-01-6a2bda09b80a,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ffd73e391e50,COST-202308-MAT-FI-0017-CONVERSION,2023-08,MAT-FI-0017,CONVERSION,3040.0,3125.27,85.27,USD,TON
fin-01-ed8108a8fca2,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-54985a4bd9f2,COST-202308-MAT-FI-0017-LOGISTICS,2023-08,MAT-FI-0017,LOGISTICS,1330.0,1382.53,52.53,USD,TON
fin-01-a5f4bce0a0bb,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2f12905923fd,COST-202308-MAT-FI-0017-QUALITY_LOSS,2023-08,MAT-FI-0017,QUALITY_LOSS,950.0,992.37,42.37,USD,TON
fin-01-794793472e8e,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7893f0bcb9b0,COST-202308-MAT-FI-0023-MATERIAL,2023-08,MAT-FI-0023,MATERIAL,13680.0,13948.93,268.93,USD,TON
fin-01-18b90a191714,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e53faa0020c4,COST-202308-MAT-FI-0023-CONVERSION,2023-08,MAT-FI-0023,CONVERSION,3040.0,3161.54,121.54,USD,TON
fin-01-6ab1e9c8d264,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c5a06ca47492,COST-202308-MAT-FI-0023-LOGISTICS,2023-08,MAT-FI-0023,LOGISTICS,1330.0,1328.81,-1.19,USD,TON
fin-01-49f453ea074f,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a27421bcc7a5,COST-202308-MAT-FI-0023-QUALITY_LOSS,2023-08,MAT-FI-0023,QUALITY_LOSS,950.0,942.64,-7.36,USD,TON
fin-01-4d34db19f55a,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a3a4bed98386,COST-202308-MAT-FI-0029-MATERIAL,2023-08,MAT-FI-0029,MATERIAL,13680.0,13885.51,205.51,USD,TON
fin-01-ac8b05facbde,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8e9564d793f7,COST-202308-MAT-FI-0029-CONVERSION,2023-08,MAT-FI-0029,CONVERSION,3040.0,2967.14,-72.86,USD,TON
fin-01-5a1b8c453542,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a3341d3460b3,COST-202308-MAT-FI-0029-LOGISTICS,2023-08,MAT-FI-0029,LOGISTICS,1330.0,1318.37,-11.63,USD,TON
fin-01-449c835a0c20,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-125512da7d54,COST-202308-MAT-FI-0029-QUALITY_LOSS,2023-08,MAT-FI-0029,QUALITY_LOSS,950.0,975.56,25.56,USD,TON
fin-01-d112370eb561,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-07fe4bd7cc3f,COST-202308-MAT-FI-0035-MATERIAL,2023-08,MAT-FI-0035,MATERIAL,13680.0,13275.45,-404.55,USD,TON
fin-01-53e512a59530,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-71fd9364b47e,COST-202308-MAT-FI-0035-CONVERSION,2023-08,MAT-FI-0035,CONVERSION,3040.0,3130.7,90.7,USD,TON
fin-01-82200150d24a,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-607713e04800,COST-202308-MAT-FI-0035-LOGISTICS,2023-08,MAT-FI-0035,LOGISTICS,1330.0,1313.28,-16.72,USD,TON
fin-01-2ffcda5f81ce,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ecc10c3221a2,COST-202308-MAT-FI-0035-QUALITY_LOSS,2023-08,MAT-FI-0035,QUALITY_LOSS,950.0,929.66,-20.34,USD,TON
fin-01-5017aa7c1323,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0f1e52e3649a,COST-202308-MAT-FI-0041-MATERIAL,2023-08,MAT-FI-0041,MATERIAL,13680.0,13652.16,-27.84,USD,TON
fin-01-2a50e79468ce,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f0ec5f5290f5,COST-202308-MAT-FI-0041-CONVERSION,2023-08,MAT-FI-0041,CONVERSION,3040.0,3069.17,29.17,USD,TON
fin-01-70c99d603f4c,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9d82a6840785,COST-202308-MAT-FI-0041-LOGISTICS,2023-08,MAT-FI-0041,LOGISTICS,1330.0,1319.89,-10.11,USD,TON
fin-01-0f565b5a4e57,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0eefe669a553,COST-202308-MAT-FI-0041-QUALITY_LOSS,2023-08,MAT-FI-0041,QUALITY_LOSS,950.0,953.6,3.6,USD,TON
fin-01-325a361a25f2,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-14ccc1906ade,COST-202308-MAT-FI-0047-MATERIAL,2023-08,MAT-FI-0047,MATERIAL,13680.0,13731.01,51.01,USD,TON
fin-01-5d6d45ddc9ff,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-1010c036af83,COST-202308-MAT-FI-0047-CONVERSION,2023-08,MAT-FI-0047,CONVERSION,3040.0,3053.6,13.6,USD,TON
fin-01-cae923419f56,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-286f77c552a3,COST-202308-MAT-FI-0047-LOGISTICS,2023-08,MAT-FI-0047,LOGISTICS,1330.0,1342.3,12.3,USD,TON
fin-01-464363dbacff,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e5c8800d301e,COST-202308-MAT-FI-0047-QUALITY_LOSS,2023-08,MAT-FI-0047,QUALITY_LOSS,950.0,970.21,20.21,USD,TON
fin-01-56e8d57331de,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-35963ec2b65e,COST-202308-MAT-FI-0053-MATERIAL,2023-08,MAT-FI-0053,MATERIAL,13680.0,13615.06,-64.94,USD,TON
fin-01-81ee3af393a3,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4ea13699ee1b,COST-202308-MAT-FI-0053-CONVERSION,2023-08,MAT-FI-0053,CONVERSION,3040.0,3100.55,60.55,USD,TON
fin-01-3f1d0fc3353b,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f4de2ee313e2,COST-202308-MAT-FI-0053-LOGISTICS,2023-08,MAT-FI-0053,LOGISTICS,1330.0,1360.45,30.45,USD,TON
fin-01-b1a32be1a196,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8371d9aae855,COST-202308-MAT-FI-0053-QUALITY_LOSS,2023-08,MAT-FI-0053,QUALITY_LOSS,950.0,980.32,30.32,USD,TON
fin-01-81b06281e15d,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7325fdda10ec,COST-202308-MAT-FI-0059-MATERIAL,2023-08,MAT-FI-0059,MATERIAL,13680.0,13587.96,-92.04,USD,TON
fin-01-dd5dc77a5c1b,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b6f9fcd1fcb6,COST-202308-MAT-FI-0059-CONVERSION,2023-08,MAT-FI-0059,CONVERSION,3040.0,3006.09,-33.91,USD,TON
fin-01-214635029f04,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-086cb2918e99,COST-202308-MAT-FI-0059-LOGISTICS,2023-08,MAT-FI-0059,LOGISTICS,1330.0,1352.34,22.34,USD,TON
fin-01-f270b2a7018d,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f5aed5ae50bf,COST-202308-MAT-FI-0059-QUALITY_LOSS,2023-08,MAT-FI-0059,QUALITY_LOSS,950.0,954.67,4.67,USD,TON
fin-01-2d9192865939,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9df1e9722447,COST-202308-MAT-FI-0065-MATERIAL,2023-08,MAT-FI-0065,MATERIAL,13680.0,14128.14,448.14,USD,TON
fin-01-a2549a29c9c1,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7df48a125264,COST-202308-MAT-FI-0065-CONVERSION,2023-08,MAT-FI-0065,CONVERSION,3040.0,2949.17,-90.83,USD,TON
fin-01-2c11385cc1c2,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-fdf3f4ff4d6a,COST-202308-MAT-FI-0065-LOGISTICS,2023-08,MAT-FI-0065,LOGISTICS,1330.0,1387.76,57.76,USD,TON
fin-01-18dbdf39f0c9,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-62f73bc90a6d,COST-202308-MAT-FI-0065-QUALITY_LOSS,2023-08,MAT-FI-0065,QUALITY_LOSS,950.0,960.05,10.05,USD,TON
fin-01-42f5ebb74461,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d5a68eda7125,COST-202308-MAT-FI-0071-MATERIAL,2023-08,MAT-FI-0071,MATERIAL,13680.0,14095.59,415.59,USD,TON
fin-01-aa3d2f9a4d10,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9dcbc1f49d4a,COST-202308-MAT-FI-0071-CONVERSION,2023-08,MAT-FI-0071,CONVERSION,3040.0,3120.58,80.58,USD,TON
fin-01-d1fb3a7f7e47,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-17bcf9bb317a,COST-202308-MAT-FI-0071-LOGISTICS,2023-08,MAT-FI-0071,LOGISTICS,1330.0,1300.31,-29.69,USD,TON
fin-01-5c17a90ef9e2,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b3cbad323a5d,COST-202308-MAT-FI-0071-QUALITY_LOSS,2023-08,MAT-FI-0071,QUALITY_LOSS,950.0,977.4,27.4,USD,TON
fin-01-c85cc662b8da,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-01fa4e77ab04,COST-202308-MAT-FI-0077-MATERIAL,2023-08,MAT-FI-0077,MATERIAL,13680.0,13726.64,46.64,USD,TON
