record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,cost_record_id,fiscal_period,product_id,cost_component,standard_unit_cost,actual_unit_cost,variance_amount,currency,quantity_uom
fin-01-0650e3e0cb79,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-213f877df4f8,COST-202308-FG-CATHODE-MATERIAL,2023-08,FG-CATHODE,MATERIAL,5184.0,5042.84,-141.16,USD,TON
fin-01-94bc2de6782d,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7046f7a45585,COST-202308-FG-CATHODE-CONVERSION,2023-08,FG-CATHODE,CONVERSION,1152.0,1151.45,-0.55,USD,TON
fin-01-6f05e034f5ec,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3518e18ab97d,COST-202308-FG-CATHODE-LOGISTICS,2023-08,FG-CATHODE,LOGISTICS,504.0,521.4,17.4,USD,TON
fin-01-dafeb7261b4e,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-bf722631f447,COST-202308-FG-CATHODE-QUALITY_LOSS,2023-08,FG-CATHODE,QUALITY_LOSS,360.0,351.79,-8.21,USD,TON
fin-01-06524e13bdc5,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9a3b7962f446,COST-202308-MAT-FI-0011-MATERIAL,2023-08,MAT-FI-0011,MATERIAL,13680.0,13304.9,-375.1,USD,TON
fin-01-f75faf726fdc,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7d2b16d6ac48,COST-202308-MAT-FI-0011-CONVERSION,2023-08,MAT-FI-0011,CONVERSION,3040.0,3160.83,120.83,USD,TON
fin-01-1b717f53fc75,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3c3b1ec09cea,COST-202308-MAT-FI-0011-LOGISTICS,2023-08,MAT-FI-0011,LOGISTICS,1330.0,1316.31,-13.69,USD,TON
fin-01-04089381513b,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5ec0d2f38f42,COST-202308-MAT-FI-0011-QUALITY_LOSS,2023-08,MAT-FI-0011,QUALITY_LOSS,950.0,937.68,-12.32,USD,TON
fin-01-fb57e1ea3f22,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-37e565b2e0d1,COST-202308-MAT-FI-0017-MATERIAL,2023-08,MAT-FI-0017,MATERIAL,13680.0,13584.78,-95.22,USD,TON
fin-01-5be5bd24003f,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9b57cad57eb7,COST-202308-MAT-FI-0017-CONVERSION,2023-08,MAT-FI-0017,CONVERSION,3040.0,3114.08,74.08,USD,TON
fin-01-93dab604e228,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5ec9b6f57f6d,COST-202308-MAT-FI-0017-LOGISTICS,2023-08,MAT-FI-0017,LOGISTICS,1330.0,1379.48,49.48,USD,TON
fin-01-a15ce3ffb829,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-775ec27fc246,COST-202308-MAT-FI-0017-QUALITY_LOSS,2023-08,MAT-FI-0017,QUALITY_LOSS,950.0,983.15,33.15,USD,TON
fin-01-3505eb4657d1,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-919a1f9d54db,COST-202308-MAT-FI-0023-MATERIAL,2023-08,MAT-FI-0023,MATERIAL,13680.0,13772.79,92.79,USD,TON
fin-01-0c2270e88c19,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d4e216acf6c1,COST-202308-MAT-FI-0023-CONVERSION,2023-08,MAT-FI-0023,CONVERSION,3040.0,3124.92,84.92,USD,TON
fin-01-dbf3d086881a,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-83ec0074bdb1,COST-202308-MAT-FI-0023-LOGISTICS,2023-08,MAT-FI-0023,LOGISTICS,1330.0,1361.54,31.54,USD,TON
fin-01-a7b711aa7b87,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6464e4499630,COST-202308-MAT-FI-0023-QUALITY_LOSS,2023-08,MAT-FI-0023,QUALITY_LOSS,950.0,936.01,-13.99,USD,TON
fin-01-6117473db1f5,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-60b0f38aa0ec,COST-202308-MAT-FI-0029-MATERIAL,2023-08,MAT-FI-0029,MATERIAL,13680.0,13727.04,47.04,USD,TON
fin-01-eb7f9828e2e2,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2b7c360c7fa9,COST-202308-MAT-FI-0029-CONVERSION,2023-08,MAT-FI-0029,CONVERSION,3040.0,2986.39,-53.61,USD,TON
fin-01-02e11e99cfcc,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-05d67e7734a7,COST-202308-MAT-FI-0029-LOGISTICS,2023-08,MAT-FI-0029,LOGISTICS,1330.0,1336.29,6.29,USD,TON
fin-01-ed367bd156bd,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5b69a1d334a9,COST-202308-MAT-FI-0029-QUALITY_LOSS,2023-08,MAT-FI-0029,QUALITY_LOSS,950.0,938.39,-11.61,USD,TON
fin-01-718472385adb,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e69fbb6798f6,COST-202308-MAT-FI-0035-MATERIAL,2023-08,MAT-FI-0035,MATERIAL,13680.0,13522.47,-157.53,USD,TON
fin-01-363b4aae2d5d,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-faf6e5857fd8,COST-202308-MAT-FI-0035-CONVERSION,2023-08,MAT-FI-0035,CONVERSION,3040.0,3127.31,87.31,USD,TON
