record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,plan_line_id,plan_date,site_id,product_id,plan_quantity,quantity_uom,priority,material_requirement,capacity_requirement_hours,status
mfg-01-5dbb4d37656c,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-1b484d0a0a86,MPS-0000001,2023-08-01,plant-afs-smelting-01,FG-CATHODE,10.0,TON,1,33.2,1.818,RELEASED
mfg-01-4af896c592c4,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5003ff7228d8,MPS-0000002,2023-08-06,plant-afs-smelting-01,MAT-FI-0011,12.1,TON,2,13.068,2.2,RELEASED
mfg-01-d1b9eb306562,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-28e99fe2dc29,MPS-0000003,2023-08-11,plant-afs-smelting-01,MAT-FI-0017,14.2,TON,3,15.762,2.582,RELEASED
mfg-01-18dfea321a07,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-52b6ca7bff8a,MPS-0000004,2023-08-16,plant-afs-smelting-01,MAT-FI-0023,16.3,TON,1,18.582,2.964,RELEASED
mfg-01-5f40e16501f5,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e6acd2cb18d9,MPS-0000005,2023-08-21,plant-afs-smelting-01,MAT-FI-0029,18.4,TON,2,21.528,3.345,RELEASED
mfg-01-d8c5a747e1b9,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-976e216f9e31,MPS-0000006,2023-08-26,plant-afs-smelting-01,MAT-FI-0035,20.5,TON,3,21.525,3.727,RELEASED
mfg-01-726ed1817fc5,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-447c899f4d94,MPS-0000007,2023-08-31,plant-afs-smelting-01,MAT-FI-0041,22.6,TON,1,24.408,4.109,RELEASED
mfg-01-41fbb1eaff82,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-87e3897aaf69,MPS-0000008,2023-09-05,plant-afs-smelting-01,MAT-FI-0047,24.7,TON,2,27.417,4.491,RELEASED
mfg-01-66eb2a2a2f7d,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a6815e1502e1,MPS-0000009,2023-09-10,plant-afs-smelting-01,MAT-FI-0053,26.8,TON,3,30.552,4.873,RELEASED
mfg-01-4de002ed8957,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9817dca469f2,MPS-0000010,2023-09-15,plant-afs-smelting-01,MAT-FI-0059,28.9,TON,1,33.813,5.255,RELEASED
mfg-01-5bb81a072eae,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-750f1420ca0f,MPS-0000011,2023-09-20,plant-afs-smelting-01,MAT-FI-0065,31.0,TON,2,32.55,5.636,RELEASED
mfg-01-198bd4412f43,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e550bde3c3f4,MPS-0000012,2023-09-26,plant-afs-smelting-01,MAT-FI-0071,33.1,TON,3,35.748,6.018,RELEASED
mfg-01-8929697e119c,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5a4673c60cf8,MPS-0000013,2023-10-01,plant-afs-smelting-01,MAT-FI-0077,35.2,TON,1,39.072,6.4,RELEASED
mfg-01-9734aecd639f,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9d37d12f06d4,MPS-0000014,2023-10-06,plant-afs-smelting-01,MAT-FI-0083,37.3,TON,2,42.522,6.782,RELEASED
mfg-01-a3a8748e878a,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4dad5b3d47d3,MPS-0000015,2023-10-11,plant-afs-smelting-01,MAT-FI-0089,39.4,TON,3,46.098,7.164,RELEASED
mfg-01-76e4ad39a276,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a0dbd66c79ed,MPS-0000016,2023-10-16,plant-afs-smelting-01,MAT-FI-0095,41.5,TON,1,43.575,7.545,RELEASED
mfg-01-a92b64029977,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-dc19237936d2,MPS-0000017,2023-10-21,plant-afs-smelting-01,MAT-FI-0101,43.6,TON,2,47.088,7.927,RELEASED
mfg-01-d3f3c6cae876,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-49877d56407e,MPS-0000018,2023-10-26,plant-afs-smelting-01,MAT-FI-0107,45.7,TON,3,50.727,8.309,RELEASED
mfg-01-60fc429d1e9f,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c9279594651c,MPS-0000019,2023-10-31,plant-afs-smelting-01,MAT-FI-0113,47.8,TON,1,54.492,8.691,RELEASED
mfg-01-6b966490e418,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f870ee2fd4ab,MPS-0000020,2023-11-05,plant-afs-smelting-01,MAT-FI-0119,10.0,TON,2,11.7,1.818,RELEASED
mfg-01-c93fc4269837,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-1982dc9d00d0,MPS-0000021,2023-11-10,plant-afs-smelting-01,MAT-FI-0125,12.1,TON,3,12.705,2.2,RELEASED
mfg-01-a8ef45a249b1,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7abcfe3735b7,MPS-0000022,2023-11-15,plant-afs-smelting-01,MAT-FI-0131,14.2,TON,1,15.336,2.582,RELEASED
mfg-01-232079a8f3f1,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4a2bee867500,MPS-0000023,2023-11-21,plant-afs-smelting-01,MAT-FI-0137,16.3,TON,2,18.093,2.964,RELEASED
mfg-01-94bada431f1c,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7633c05da88c,MPS-0000024,2023-11-26,plant-afs-smelting-01,MAT-FI-0143,18.4,TON,3,20.976,3.345,RELEASED
mfg-01-f4362611780b,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ee211979bae4,MPS-0000025,2023-12-01,plant-afs-smelting-01,MAT-FI-0149,20.5,TON,1,23.985,3.727,RELEASED
mfg-01-bbaa91dc3431,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-887ae8800609,MPS-0000026,2023-12-06,plant-afs-smelting-01,MAT-FI-0155,22.6,TON,2,23.73,4.109,RELEASED
mfg-01-105d0bb6d96d,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-215fc23e867b,MPS-0000027,2023-12-11,plant-afs-smelting-01,MAT-FI-0161,24.7,TON,3,26.676,4.491,RELEASED
mfg-01-ad705b0ebb4b,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5991cefb02ef,MPS-0000028,2023-12-16,plant-afs-smelting-01,MAT-FI-0167,26.8,TON,1,29.748,4.873,RELEASED
mfg-01-78acef33d1ff,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-53722a4b5d7a,MPS-0000029,2023-12-21,plant-afs-smelting-01,MAT-FI-0173,28.9,TON,2,32.946,5.255,RELEASED
mfg-01-8848ab197e93,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-32f2d3213680,MPS-0000030,2023-12-26,plant-afs-smelting-01,MAT-FI-0179,31.0,TON,3,36.27,5.636,RELEASED
mfg-01-1fa437bfe6ee,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f0c3773e4cb8,MPS-0000031,2023-12-31,plant-afs-smelting-01,FG-CATHODE,33.1,TON,1,109.892,6.018,RELEASED
mfg-01-208a510c8735,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8b22fde43917,MPS-0000032,2024-01-05,plant-afs-smelting-01,MAT-FI-0011,35.2,TON,2,38.016,6.4,RELEASED
mfg-01-3621e020aa10,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-bd968917d2e8,MPS-0000033,2024-01-10,plant-afs-smelting-01,MAT-FI-0017,37.3,TON,3,41.403,6.782,RELEASED
mfg-01-389d8d241aab,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-34de9a39ac21,MPS-0000034,2024-01-16,plant-afs-smelting-01,MAT-FI-0023,39.4,TON,1,44.916,7.164,RELEASED
mfg-01-e4fc7bd6eb3a,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c5196a5f8800,MPS-0000035,2024-01-21,plant-afs-smelting-01,MAT-FI-0029,41.5,TON,2,48.555,7.545,RELEASED
mfg-01-5845f930a9cf,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a68f6bbbf351,MPS-0000036,2024-01-26,plant-afs-smelting-01,MAT-FI-0035,43.6,TON,3,45.78,7.927,RELEASED
mfg-01-6a0b44e7a0f5,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0771d12f0cbd,MPS-0000037,2024-01-31,plant-afs-smelting-01,MAT-FI-0041,45.7,TON,1,49.356,8.309,RELEASED
mfg-01-598fe5b5d810,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7c766c4bb69a,MPS-0000038,2024-02-05,plant-afs-smelting-01,MAT-FI-0047,47.8,TON,2,53.058,8.691,RELEASED
mfg-01-41b0b1c848e1,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-cc1d5bc34753,MPS-0000039,2024-02-10,plant-afs-smelting-01,MAT-FI-0053,10.0,TON,3,11.4,1.818,RELEASED
mfg-01-afc676e03d09,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-92111fe21a3b,MPS-0000040,2024-02-15,plant-afs-smelting-01,MAT-FI-0059,12.1,TON,1,14.157,2.2,RELEASED
mfg-01-073308515bfe,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-57950b6ce26e,MPS-0000041,2024-02-20,plant-afs-smelting-01,MAT-FI-0065,14.2,TON,2,14.91,2.582,RELEASED
mfg-01-f9c72b217fac,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-64eda78b9364,MPS-0000042,2024-02-25,plant-afs-smelting-01,MAT-FI-0071,16.3,TON,3,17.604,2.964,RELEASED
mfg-01-0850e8e2902a,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e7d25254d714,MPS-0000043,2024-03-01,plant-afs-smelting-01,MAT-FI-0077,18.4,TON,1,20.424,3.345,RELEASED
