record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,sales_line_id,customer_id,product_id,order_date,due_date,actual_ship_date,plan_quantity,order_quantity,shipped_quantity,quantity_uom,unit_price,currency,status
sls-01-632ca159ba5c,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ec3e6a071407,SO-000001-10,CUS-0001,FG-CATHODE,2023-08-01,2023-08-21,2023-08-23,8.0,8.0,8.0,TON,9025.0,KRW,SHIPPED
sls-01-1cab6ceca21b,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ebee924e7930,SO-000002-10,CUS-0002,MAT-FI-0011,2023-08-14,2023-09-04,2023-09-03,9.7,9.7,9.7,TON,30784.0,USD,SHIPPED
sls-01-36cdc4a1bfdd,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0c2d1fd102e9,SO-000003-10,CUS-0003,MAT-FI-0017,2023-08-27,2023-09-18,2023-09-20,11.4,11.4,11.4,TON,31168.0,USD,SHIPPED
sls-01-18f2e505f054,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b2947663ad2e,SO-000004-10,CUS-0004,MAT-FI-0023,2023-09-09,2023-10-02,2023-10-03,13.1,13.1,13.1,TON,31552.0,USD,SHIPPED
sls-01-885b7ca1472a,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ef82a63d5635,SO-000005-10,CUS-0005,MAT-FI-0029,2023-09-22,2023-10-16,2023-10-16,14.8,14.8,14.8,TON,31936.0,KRW,SHIPPED
sls-01-39150733f09c,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-223e5c109ddf,SO-000006-10,CUS-0006,MAT-FI-0035,2023-10-05,2023-10-30,2023-10-28,16.5,16.5,16.5,TON,32320.0,USD,SHIPPED
sls-01-82004d8654c9,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e1f8bd03561b,SO-000007-10,CUS-0007,MAT-FI-0041,2023-10-18,2023-11-13,2023-11-14,18.2,18.2,18.2,TON,32704.0,USD,SHIPPED
sls-01-592eb9f0f60a,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9e7c25601745,SO-000008-10,CUS-0008,MAT-FI-0047,2023-10-31,2023-11-27,2023-11-29,19.9,19.9,19.9,TON,33088.0,USD,SHIPPED
sls-01-8a5c5e30b542,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d5cbb164db61,SO-000009-10,CUS-0009,MAT-FI-0053,2023-11-13,2023-12-11,2023-12-12,21.6,21.6,21.6,TON,33472.0,KRW,SHIPPED
sls-01-5eb17858ed07,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f64f15c298a6,SO-000010-10,CUS-0010,MAT-FI-0059,2023-11-27,2023-12-26,2023-12-25,23.3,23.3,23.3,TON,30400.0,USD,SHIPPED
sls-01-9a7ed8e06006,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-1c3fe85adb43,SO-000011-10,CUS-0011,MAT-FI-0065,2023-12-10,2024-01-09,2024-01-09,25.0,25.0,25.0,TON,30784.0,USD,SHIPPED
sls-01-9c8c79c06cea,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0b391adfcc40,SO-000012-10,CUS-0012,MAT-FI-0071,2023-12-23,2024-01-23,2024-01-22,26.7,26.7,26.7,TON,31168.0,USD,SHIPPED
sls-01-6a528bae650f,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2b4416204377,SO-000013-10,CUS-0013,MAT-FI-0077,2024-01-05,2024-02-06,2024-02-08,28.4,28.4,28.4,TON,31552.0,KRW,SHIPPED
sls-01-965a5ec50167,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8c38da9fef2a,SO-000014-10,CUS-0014,MAT-FI-0083,2024-01-18,2024-02-20,2024-02-19,30.1,30.1,30.1,TON,31936.0,USD,SHIPPED
sls-01-3dd4952f6a7c,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f8ef4b3740dd,SO-000015-10,CUS-0015,MAT-FI-0089,2024-01-31,2024-03-05,2024-03-07,31.8,31.8,31.8,TON,32320.0,USD,SHIPPED
sls-01-58145dc44e03,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-38e91dcbab41,SO-000016-10,CUS-0016,MAT-FI-0095,2024-02-13,2024-03-19,2024-03-19,33.5,33.5,33.5,TON,32704.0,USD,SHIPPED
sls-01-d7cd595d0a7b,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-dca687b8c463,SO-000017-10,CUS-0017,MAT-FI-0101,2024-02-26,2024-04-02,2024-04-03,35.2,35.2,35.2,TON,33088.0,KRW,SHIPPED
sls-01-d801cd6f9e10,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b93f9ff1b3f2,SO-000018-10,CUS-0018,MAT-FI-0107,2024-03-10,2024-04-16,2024-04-18,8.0,8.0,8.0,TON,33472.0,USD,SHIPPED
sls-01-84b9d787b403,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6445db0be2e3,SO-000019-10,CUS-0019,MAT-FI-0113,2024-03-24,2024-05-01,2024-05-01,9.7,9.7,9.7,TON,30400.0,USD,SHIPPED
sls-01-c598c02c9179,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3258cdb0a8cc,SO-000020-10,CUS-0020,MAT-FI-0119,2024-04-06,2024-05-15,2024-05-15,11.4,11.4,11.4,TON,30784.0,USD,SHIPPED
sls-01-ffe3d872b181,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-74f12604a9d8,SO-000021-10,CUS-0021,MAT-FI-0125,2024-04-19,2024-05-29,2024-05-29,13.1,13.1,13.1,TON,31168.0,KRW,SHIPPED
sls-01-7d2e3a13cb73,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-374e93e2b1bf,SO-000022-10,CUS-0022,MAT-FI-0131,2024-05-02,2024-06-12,2024-06-10,14.8,14.8,14.8,TON,31552.0,USD,SHIPPED
sls-01-1943225c628b,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9c1f234714c7,SO-000023-10,CUS-0023,MAT-FI-0137,2024-05-15,2024-06-26,2024-06-28,16.5,16.5,16.5,TON,31936.0,USD,SHIPPED
