record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,material_id,material_code,material_name,aliases,material_type,grade,base_uom,valuation_class,benchmark_code,active
mdm-01-801a9fbd3206,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-24e92e8dab22,RM-CU-CONC,RM-CU-CONC,동정광,동정광|RM CU CONC,RAW,CU_25PCT,TON,RAW,LME_COPPER,True
mdm-01-e784ed563bfe,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b2047686c8d5,WIP-MATTE,WIP-MATTE,동 매트,동 매트|WIP MATTE,WIP,CU_60PCT,TON,WIP,,True
mdm-01-6268af1f2749,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-799e11027439,WIP-ANODE,WIP-ANODE,아노드동,아노드동|WIP ANODE,WIP,CU_99_5PCT,TON,WIP,,True
mdm-01-79a14d4e37c0,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-cec806af3204,FG-CATHODE,FG-CATHODE,전기동,전기동|FG CATHODE,FINISHED,LME_GRADE_A,TON,FINISHED,COPPER,True
mdm-01-15c72df64217,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f3afa224a1d0,BP-H2SO4,BP-H2SO4,부산물 황산,부산물 황산|BP H2SO4,BYPRODUCT,TECHNICAL_98PCT,TON,BYPRODUCT,SULFURIC_ACID,True
mdm-01-6d168527f77e,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-30a5d1db5583,BP-GOLD,BP-GOLD,부산물 금,부산물 금|BP GOLD,BYPRODUCT,FINE_GOLD_9999,KG,BYPRODUCT,GOLD,True
mdm-01-faa9e642b03e,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-1e98c211baed,MAT-RA-0007,MAT-RA-0007,공정소모품 007,공정소모품007|DEMO-007,RAW,G4,TON,RAW,,True
mdm-01-c73b93d95bcd,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-54ab7affff22,MAT-CO-0008,MAT-CO-0008,포장재 008,포장재008|DEMO-008,CONSUMABLE,G1,EA,CONSUMABLE,,True
mdm-01-4d0f8af3d504,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b4246bf7e988,MAT-CO-0009,MAT-CO-0009,예비품 009,예비품009|DEMO-009,CONSUMABLE,G2,EA,CONSUMABLE,,True
mdm-01-c29213742b35,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-56a0138133fd,MAT-WI-0010,MAT-WI-0010,중간재 010,중간재010|DEMO-010,WIP,G3,TON,WIP,,True
