record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,movement_id,movement_date,movement_type,material_id,lot_id,from_location_id,to_location_id,quantity,quantity_uom,reference_type,reference_id
inv-02-16070e13db3f,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c4390d331a84,MOV-ADJ-0000001,2023-08-01,CYCLE_COUNT_ADJUSTMENT,RM-CU-CONC,LOT-ADJ-0000001,ADJUSTMENT,LOC-P1-RAW,0.05,TON,CYCLE_COUNT,CC-0000001
inv-02-499a37b5005f,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-49f982de3528,MOV-ADJ-0001096,2023-08-01,CYCLE_COUNT_ADJUSTMENT,MAT-RA-0216,LOT-ADJ-0001096,ADJUSTMENT,LOC-P1-RAW,0.23,TON,CYCLE_COUNT,CC-0001096
inv-02-000be8566aca,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a759879d4d38,MOV-ADJ-0002191,2023-08-01,CYCLE_COUNT_ADJUSTMENT,MAT-RA-0211,LOT-ADJ-0002191,ADJUSTMENT,LOC-P1-RAW,0.14,TON,CYCLE_COUNT,CC-0002191
inv-02-9dd4f634a2fa,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6d796001574c,MOV-ADJ-0003286,2023-08-01,CYCLE_COUNT_ADJUSTMENT,MAT-CO-0206,LOT-ADJ-0003286,ADJUSTMENT,LOC-P1-RAW,0.05,TON,CYCLE_COUNT,CC-0003286
inv-02-649ad22045de,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c786ae256de9,MOV-ADJ-0004381,2023-08-01,CYCLE_COUNT_ADJUSTMENT,MAT-CO-0201,LOT-ADJ-0004381,ADJUSTMENT,LOC-P1-RAW,0.23,TON,CYCLE_COUNT,CC-0004381
inv-02-29b63bc97d71,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-1eaa53f07257,MOV-ADJ-0005476,2023-08-01,CYCLE_COUNT_ADJUSTMENT,MAT-WI-0196,LOT-ADJ-0005476,ADJUSTMENT,LOC-P1-RAW,0.14,TON,CYCLE_COUNT,CC-0005476
inv-02-0d2f650bae1b,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8bc339a7a4cc,MOV-ADJ-0006571,2023-08-01,CYCLE_COUNT_ADJUSTMENT,MAT-FI-0191,LOT-ADJ-0006571,ADJUSTMENT,LOC-P1-RAW,0.05,TON,CYCLE_COUNT,CC-0006571
inv-02-2fb304826ba0,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5bb46f4565d2,MOV-ADJ-0007666,2023-08-01,CYCLE_COUNT_ADJUSTMENT,MAT-RA-0186,LOT-ADJ-0007666,ADJUSTMENT,LOC-P1-RAW,0.23,TON,CYCLE_COUNT,CC-0007666
inv-02-4335308672e2,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2e52ba55ff83,MOV-ADJ-0008761,2023-08-01,CYCLE_COUNT_ADJUSTMENT,MAT-RA-0181,LOT-ADJ-0008761,ADJUSTMENT,LOC-P1-RAW,0.14,TON,CYCLE_COUNT,CC-0008761
inv-02-9bb28235c5d8,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-71e01dd6d853,MOV-BP-BP-GOLD-BATCH-0000001,2023-08-01,PRODUCTION_RECEIPT,BP-GOLD,LOT-BP-BP-GOLD-BATCH-0000001,PRODUCTION,LOC-P1-FG,0.085,KG,BATCH,BATCH-0000001
