record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,node_id,node_type,code,name,parent_id,entity_mode,industry_code,effective_from,effective_to
fnd-01-59caac0393c4,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-db85e404ef56,org-afs-demo-group,ENTERPRISE_GROUP,AFS_GROUP,AFS 데모소재그룹,,VIRTUAL,C24,2024-01-01,9999-12-31
fnd-01-01c881b385c6,tenant-afs-demo-materials,org-afs-metals,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-924b2508cdce,org-afs-metals,LEGAL_ENTITY,AFS_METALS,AFS 메탈 주식회사,org-afs-demo-group,VIRTUAL,C24,2024-01-01,9999-12-31
fnd-01-748ed5ad49dd,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a4f49f76ba3e,org-afs-metals-shared,SHARED_SERVICE,METALS_SHARED,AFS 메탈 전사공통,org-afs-metals,VIRTUAL,C24,2024-01-01,9999-12-31
fnd-01-d7fd42248f5b,tenant-afs-demo-materials,org-afs-smelting-bu,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9664a5ce671d,org-afs-smelting-bu,BUSINESS_DIVISION,SMELTING_BU,제련사업부,org-afs-metals,VIRTUAL,C24,2024-01-01,9999-12-31
fnd-01-de638a17b6a1,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-bd40dd372b45,plant-afs-smelting-01,PLANT,SMELTING_P1,제1공장(제련·정제),org-afs-smelting-bu,VIRTUAL,C24,2024-01-01,9999-12-31
fnd-01-063bf323fbe3,tenant-afs-demo-materials,plant-afs-expansion-03,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e9f8e0dcbad6,plant-afs-expansion-03,PLANT,EXPANSION_P3,증설 제3공장,org-afs-smelting-bu,VIRTUAL_EXPANSION,C24,2024-01-01,9999-12-31
fnd-01-8a63c94ce548,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b71fac973a26,dept-procurement,DEPARTMENT,PROC,원료구매팀,org-afs-smelting-bu,VIRTUAL,C24,2024-01-01,9999-12-31
fnd-01-0f05d8a99846,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2b9784d18fbf,dept-logistics,DEPARTMENT,LOG,물류팀,org-afs-smelting-bu,VIRTUAL,C24,2024-01-01,9999-12-31
fnd-01-b0fd17613973,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-eb53af845dcc,dept-production,DEPARTMENT,MFG,생산관리팀,org-afs-smelting-bu,VIRTUAL,C24,2024-01-01,9999-12-31
fnd-01-5d9467c7b8ca,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-eeca5bf56d39,dept-finance,DEPARTMENT,FIN,재무회계팀,org-afs-metals-shared,VIRTUAL,C24,2024-01-01,9999-12-31
fnd-01-13156581ca71,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c175525d27ea,dept-management,DEPARTMENT,MGT,경영관리팀,org-afs-metals-shared,VIRTUAL,C24,2024-01-01,9999-12-31
