record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,snapshot_id,snapshot_date,location_id,material_id,lot_id,unrestricted_quantity,quality_quantity,blocked_quantity,safety_stock_quantity,quantity_uom
inv-01-11acb92c3b57,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-812f837afb16,STK-20230831-RM-CU-CONC-LOC-P1-RAW,2023-08-31,LOC-P1-RAW,RM-CU-CONC,ALL,22655.825,0.0,0.0,50.0,TON
inv-01-66d57bb96e5e,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-52da7c4e38a2,STK-20230831-RM-CU-CONC-LOC-P1-WIP,2023-08-31,LOC-P1-WIP,RM-CU-CONC,ALL,0.0,0.0,0.0,50.0,TON
inv-01-cbc5cd017869,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2f7a3072a248,STK-20230831-RM-CU-CONC-LOC-P1-FG,2023-08-31,LOC-P1-FG,RM-CU-CONC,ALL,0.11,0.0,0.0,50.0,TON
inv-01-a7868d997c4f,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-31490c967254,STK-20230831-WIP-MATTE-LOC-P1-RAW,2023-08-31,LOC-P1-RAW,WIP-MATTE,ALL,0.14,0.0,0.0,10.0,TON
inv-01-93028724306b,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-030b84036edc,STK-20230831-WIP-MATTE-LOC-P1-WIP,2023-08-31,LOC-P1-WIP,WIP-MATTE,ALL,100.08,0.0,0.0,10.0,TON
inv-01-3bc4500aee89,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-62fb177f78f1,STK-20230831-WIP-MATTE-LOC-P1-FG,2023-08-31,LOC-P1-FG,WIP-MATTE,ALL,0.0,0.0,0.0,10.0,TON
inv-01-95f393e22d14,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8ef2aae4fd4b,STK-20230831-WIP-ANODE-LOC-P1-RAW,2023-08-31,LOC-P1-RAW,WIP-ANODE,ALL,0.0,0.0,0.0,10.0,TON
inv-01-6ad89fc24507,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-23ffdcdc2ad1,STK-20230831-WIP-ANODE-LOC-P1-WIP,2023-08-31,LOC-P1-WIP,WIP-ANODE,ALL,100.17,0.0,0.0,10.0,TON
inv-01-43838ef27b92,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c6fcf2905f4a,STK-20230831-WIP-ANODE-LOC-P1-FG,2023-08-31,LOC-P1-FG,WIP-ANODE,ALL,0.11,0.0,0.0,10.0,TON
inv-01-d32525f87e90,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-10ae82b27a05,STK-20230831-FG-CATHODE-LOC-P1-RAW,2023-08-31,LOC-P1-RAW,FG-CATHODE,ALL,0.14,0.0,0.0,10.0,TON
inv-01-123fb23d53ad,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-03a9b1c050ed,STK-20230831-FG-CATHODE-LOC-P1-WIP,2023-08-31,LOC-P1-WIP,FG-CATHODE,ALL,0.0,0.0,0.0,10.0,TON
inv-01-de9b0767760d,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-cf8268b31874,STK-20230831-FG-CATHODE-LOC-P1-FG,2023-08-31,LOC-P1-FG,FG-CATHODE,ALL,15440.229,0.0,0.0,10.0,TON
inv-01-7c048b68d784,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d1fdfdf1e512,STK-20230831-BP-H2SO4-LOC-P1-RAW,2023-08-31,LOC-P1-RAW,BP-H2SO4,ALL,0.0,0.0,0.0,10.0,TON
inv-01-c90516036f44,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9c7055139b8b,STK-20230831-BP-H2SO4-LOC-P1-WIP,2023-08-31,LOC-P1-WIP,BP-H2SO4,ALL,0.17,0.0,0.0,10.0,TON
inv-01-9454aed11b2a,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a15e55749dbe,STK-20230831-BP-H2SO4-LOC-P1-FG,2023-08-31,LOC-P1-FG,BP-H2SO4,ALL,46229.307,0.0,0.0,10.0,TON
inv-01-de7d5fb568e2,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-dd1a66cc3dab,STK-20230831-BP-GOLD-LOC-P1-RAW,2023-08-31,LOC-P1-RAW,BP-GOLD,ALL,0.0,0.0,0.0,10.0,KG
inv-01-bd9ce27ddcd1,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c6765a530691,STK-20230831-BP-GOLD-LOC-P1-WIP,2023-08-31,LOC-P1-WIP,BP-GOLD,ALL,0.0,0.0,0.0,10.0,KG
inv-01-6dc1b85d7563,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2b58a6805933,STK-20230831-BP-GOLD-LOC-P1-FG,2023-08-31,LOC-P1-FG,BP-GOLD,ALL,168.871,0.0,0.0,10.0,KG
inv-01-66e192498076,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b4db58813233,STK-20230831-MAT-RA-0007-LOC-P1-RAW,2023-08-31,LOC-P1-RAW,MAT-RA-0007,ALL,7902.914,0.0,0.0,10.0,TON
inv-01-f1d3e01b91c2,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ff65e46dc070,STK-20230831-MAT-RA-0007-LOC-P1-WIP,2023-08-31,LOC-P1-WIP,MAT-RA-0007,ALL,0.0,0.0,0.0,10.0,TON
inv-01-ff238d60df66,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e08527322b8a,STK-20230831-MAT-RA-0007-LOC-P1-FG,2023-08-31,LOC-P1-FG,MAT-RA-0007,ALL,0.0,0.0,0.0,10.0,TON
