record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,observation_id,commodity_code,observed_at,published_at,vintage_date,value,unit,currency,source_id,trust_grade
ext-02-fada7a149a23,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c45657af0974,EXT2-COPPER-202108,COPPER,2021-08-31,2021-09-07,2021-09-07,9993.0521,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-36371172a689,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d10afeca5bb9,EXT2-NICKEL-202108,NICKEL,2021-08-31,2021-09-07,2021-09-07,16218.7547,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-73a9adeb3a06,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-bc05b801a541,EXT2-SULFURIC_ACID-202108,SULFURIC_ACID,2021-08-31,2021-09-07,2021-09-07,115.0,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-7e21e1aceb64,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-72087b96011a,EXT2-LITHIUM-202108,LITHIUM,2021-08-31,2021-09-07,2021-09-07,24000.0,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-1b268ad2ced7,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7e4f15e915ea,EXT2-COPPER-202109,COPPER,2021-09-30,2021-10-07,2021-10-07,9801.9786,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-a085e1540c1a,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-514ed027c36f,EXT2-NICKEL-202109,NICKEL,2021-09-30,2021-10-07,2021-10-07,15264.6322,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-ae8f24106668,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d267aa5a3539,EXT2-SULFURIC_ACID-202109,SULFURIC_ACID,2021-09-30,2021-10-07,2021-10-07,117.384,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-82a3ebb652fb,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-22ac8ccdee61,EXT2-LITHIUM-202109,LITHIUM,2021-09-30,2021-10-07,2021-10-07,24498.9718,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-6d367ebd2327,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-899a17a920ab,EXT2-COPPER-202110,COPPER,2021-10-31,2021-11-07,2021-11-07,10144.4267,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-7bed43f2a1d9,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7a2faa4cd94a,EXT2-NICKEL-202110,NICKEL,2021-10-31,2021-11-07,2021-11-07,14248.3707,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
