record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,reference_type,reference_key,effective_date,value,unit,fiscal_year,fiscal_period,is_workday
fnd-03-b6dcb2106742,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5b3e84dd6ff6,FISCAL_CALENDAR,2026-02-01,2026-02-01,2,MONTH,2026,2,False
fnd-03-b5219d3d1f8a,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b02235aab1b4,FISCAL_CALENDAR,2026-02-02,2026-02-02,2,MONTH,2026,2,True
fnd-03-cdd1e62c5c74,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-84851dec43cb,FISCAL_CALENDAR,2026-02-03,2026-02-03,2,MONTH,2026,2,True
fnd-03-c52b351f680b,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c98de62b8d41,FISCAL_CALENDAR,2026-02-04,2026-02-04,2,MONTH,2026,2,True
fnd-03-e769bf90b516,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-029fe1ad63f9,FISCAL_CALENDAR,2026-02-05,2026-02-05,2,MONTH,2026,2,True
fnd-03-943f92c40560,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-418e16248293,FISCAL_CALENDAR,2026-02-06,2026-02-06,2,MONTH,2026,2,True
fnd-03-1ca07523e26a,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-71072408919f,FISCAL_CALENDAR,2026-02-07,2026-02-07,2,MONTH,2026,2,False
fnd-03-fbef008dc45d,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-21d1fb041e9a,FISCAL_CALENDAR,2026-02-08,2026-02-08,2,MONTH,2026,2,False
fnd-03-adfc89b47700,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e7941d81138e,FISCAL_CALENDAR,2026-02-09,2026-02-09,2,MONTH,2026,2,True
fnd-03-7d87fd9cc5ae,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-cfdc664cb9b0,FISCAL_CALENDAR,2026-02-10,2026-02-10,2,MONTH,2026,2,True
fnd-03-9c0c168120a7,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-001cc87cf19b,FISCAL_CALENDAR,2026-02-11,2026-02-11,2,MONTH,2026,2,True
fnd-03-1a0946024c08,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5f80c0a40c60,FISCAL_CALENDAR,2026-02-12,2026-02-12,2,MONTH,2026,2,True
fnd-03-987686a13c35,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-cf6e086947b2,FISCAL_CALENDAR,2026-02-13,2026-02-13,2,MONTH,2026,2,True
fnd-03-fc298e028640,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-24d77a28010a,FISCAL_CALENDAR,2026-02-14,2026-02-14,2,MONTH,2026,2,False
fnd-03-d6362005ef97,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d06892f7d5c9,FISCAL_CALENDAR,2026-02-15,2026-02-15,2,MONTH,2026,2,False
