record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,reference_type,reference_key,effective_date,value,unit,fiscal_year,fiscal_period,is_workday
fnd-03-9b543772b214,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9fdaa8ec09e9,FISCAL_CALENDAR,2023-08-01,2023-08-01,8,MONTH,2023,8,True
fnd-03-f8f1e6b6e38f,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8026f5412add,FISCAL_CALENDAR,2023-08-02,2023-08-02,8,MONTH,2023,8,True
fnd-03-3138127f4797,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f1efa449a4fe,FISCAL_CALENDAR,2023-08-03,2023-08-03,8,MONTH,2023,8,True
fnd-03-20d1e5eda7e7,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e3e8ff93c3a2,FISCAL_CALENDAR,2023-08-04,2023-08-04,8,MONTH,2023,8,True
fnd-03-c7dc22990986,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-79246e78e11a,FISCAL_CALENDAR,2023-08-05,2023-08-05,8,MONTH,2023,8,False
fnd-03-c2c67dbd7186,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8ae89c47abfc,FISCAL_CALENDAR,2023-08-06,2023-08-06,8,MONTH,2023,8,False
fnd-03-f7687e573f69,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8913b48c2fc5,FISCAL_CALENDAR,2023-08-07,2023-08-07,8,MONTH,2023,8,True
fnd-03-206bda9c812b,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2c5c8ef4dcac,FISCAL_CALENDAR,2023-08-08,2023-08-08,8,MONTH,2023,8,True
fnd-03-0e65528f5b7d,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-46ae94047b41,FISCAL_CALENDAR,2023-08-09,2023-08-09,8,MONTH,2023,8,True
fnd-03-ccccea167e4c,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d0723fbf7635,FISCAL_CALENDAR,2023-08-10,2023-08-10,8,MONTH,2023,8,True
