record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,bom_id,line_no,output_material_id,input_material_id,component_role,quantity_per_output,input_uom,output_uom,standard_yield,byproduct_material_id,effective_from,effective_to
mdm-05-298b97c7391b,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-65e91f363dae,BOM-FG-CATHODE-01,1,FG-CATHODE,RM-CU-CONC,INPUT,3.3,TON,TON,0.98,BP-H2SO4,2024-01-01,9999-12-31
mdm-05-e9c25e5e8273,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-794ad37c91bd,BOM-FG-CATHODE-01,2,FG-CATHODE,WIP-MATTE,RETURN,0.02,TON,TON,0.98,BP-H2SO4,2024-01-01,9999-12-31
mdm-05-c09283f70c5c,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-56f18e57b388,BOM-MAT-FI-0011-01,1,MAT-FI-0011,MAT-RA-0007,INPUT,1.08,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-4bb66be6a7f9,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e8da161e6be1,BOM-MAT-FI-0017-01,1,MAT-FI-0017,MAT-CO-0008,INPUT,1.11,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-ce62b262a0ed,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-406b8d724cc6,BOM-MAT-FI-0023-01,1,MAT-FI-0023,MAT-CO-0009,INPUT,1.1400000000000001,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-88359a420fc8,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f809db84f07a,BOM-MAT-FI-0029-01,1,MAT-FI-0029,MAT-RA-0012,INPUT,1.17,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-918e4387cd07,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c5a674a778dc,BOM-MAT-FI-0035-01,1,MAT-FI-0035,MAT-RA-0013,INPUT,1.05,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-ecc84bdd9626,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c91d4d3d465b,BOM-MAT-FI-0041-01,1,MAT-FI-0041,MAT-CO-0014,INPUT,1.08,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-ff6ca12724cf,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6cba059a1214,BOM-MAT-FI-0047-01,1,MAT-FI-0047,MAT-CO-0015,INPUT,1.11,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-17379b5ab3b6,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d8cf9bb3964f,BOM-MAT-FI-0053-01,1,MAT-FI-0053,MAT-RA-0018,INPUT,1.1400000000000001,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-7af37cf20392,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-134b8a572f8f,BOM-MAT-FI-0059-01,1,MAT-FI-0059,MAT-RA-0019,INPUT,1.17,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-861936345765,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ad33f0f083ae,BOM-MAT-FI-0065-01,1,MAT-FI-0065,MAT-CO-0020,INPUT,1.05,TON,TON,0.94,,2024-01-01,9999-12-31
