record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,routing_id,operation_seq,operation_name,equipment_id,equipment_name,product_id,rate_per_hour,rate_uom,setup_hours,rated_oee,calendar_hours_month
mdm-06-7017baec1adb,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a2fc4dc7ccd7,ROUTE-FG-CATHODE,10,배소,EQ-01-001,배소 설비 01,FG-CATHODE,3.5,TON/H,0.5,0.82,720
mdm-06-07894e6b78bd,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-210ed8c9523c,ROUTE-FG-CATHODE,20,용련,EQ-01-002,용련 설비 02,FG-CATHODE,4.2,TON/H,0.75,0.835,720
mdm-06-7f2310b8e07b,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0d281cac70f8,ROUTE-FG-CATHODE,30,전로정련,EQ-01-003,전로정련 설비 03,FG-CATHODE,4.9,TON/H,1.0,0.85,720
mdm-06-fc211fe6169d,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-567b064d429f,ROUTE-FG-CATHODE,40,정제,EQ-01-004,정제 설비 04,FG-CATHODE,5.6,TON/H,1.25,0.865,720
mdm-06-3e7a5fcf6818,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ff30fa432157,ROUTE-FG-CATHODE,50,전해정련,EQ-01-005,전해정련 설비 05,FG-CATHODE,6.3,TON/H,0.5,0.88,720
mdm-06-ec2febc20630,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5892832b1df8,ROUTE-MAT-FI-0011,10,배소,EQ-01-006,배소 설비 06,MAT-FI-0011,7.0,TON/H,0.75,0.895,720
mdm-06-31d8ff08c4e8,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-08d21e895705,ROUTE-MAT-FI-0011,20,용련,EQ-01-007,용련 설비 07,MAT-FI-0011,7.7,TON/H,1.0,0.91,720
mdm-06-2d6af48c5d13,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-fb17b106a358,ROUTE-MAT-FI-0011,30,전로정련,EQ-01-008,전로정련 설비 08,MAT-FI-0011,8.4,TON/H,1.25,0.925,720
mdm-06-bde425669a89,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-59dc7379a2e6,ROUTE-MAT-FI-0011,40,정제,EQ-01-009,정제 설비 09,MAT-FI-0011,3.5,TON/H,0.5,0.82,720
mdm-06-2ddc4bab25e4,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3e2f45c7a1cd,ROUTE-MAT-FI-0011,50,전해정련,EQ-01-010,전해정련 설비 10,MAT-FI-0011,4.2,TON/H,0.75,0.835,720
