record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,snapshot_id,snapshot_date,location_id,material_id,lot_id,unrestricted_quantity,quality_quantity,blocked_quantity,safety_stock_quantity,quantity_uom
inv-01-2a7c161c531f,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b240fe5c2e71,STK-20260228-RM-CU-CONC-LOC-P1-RAW,2026-02-28,LOC-P1-RAW,RM-CU-CONC,ALL,4816.401,0.0,0.0,50.0,TON
inv-01-8f5d41a7b1b0,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-52acd47dd8c1,STK-20260228-RM-CU-CONC-LOC-P1-FG,2026-02-28,LOC-P1-FG,RM-CU-CONC,ALL,0.0,0.0,0.0,50.0,TON
inv-01-ef9a69503b3b,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-48f203018d00,STK-20260228-WIP-MATTE-LOC-P1-RAW,2026-02-28,LOC-P1-RAW,WIP-MATTE,ALL,100.0,0.0,0.0,10.0,TON
inv-01-bfc8719f58a6,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-84085de9212f,STK-20260228-WIP-MATTE-LOC-P1-FG,2026-02-28,LOC-P1-FG,WIP-MATTE,ALL,0.96,0.0,0.0,10.0,TON
inv-01-4507bfb58b6e,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2eef4f75cbf6,STK-20260228-WIP-ANODE-LOC-P1-RAW,2026-02-28,LOC-P1-RAW,WIP-ANODE,ALL,101.32,0.0,0.0,10.0,TON
inv-01-00306d74fa37,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e44d29ef9fc5,STK-20260228-WIP-ANODE-LOC-P1-FG,2026-02-28,LOC-P1-FG,WIP-ANODE,ALL,0.0,0.0,0.0,10.0,TON
inv-01-f323a2e4b123,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9c809b4a25b1,STK-20260228-FG-CATHODE-LOC-P1-RAW,2026-02-28,LOC-P1-RAW,FG-CATHODE,ALL,0.0,0.0,0.0,10.0,TON
inv-01-cee5e0bcaf03,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-843c52fc30ce,STK-20260228-FG-CATHODE-LOC-P1-FG,2026-02-28,LOC-P1-FG,FG-CATHODE,ALL,2911.329,0.0,0.0,10.0,TON
inv-01-6ed6f9f43952,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8a1578971446,STK-20260228-BP-H2SO4-LOC-P1-RAW,2026-02-28,LOC-P1-RAW,BP-H2SO4,ALL,0.0,0.0,0.0,10.0,TON
inv-01-8a80ffdff03b,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-1cde4b47cdab,STK-20260228-BP-H2SO4-LOC-P1-FG,2026-02-28,LOC-P1-FG,BP-H2SO4,ALL,8650.098,0.0,0.0,10.0,TON
